



























































100 0.004456
600 1.29894
1100 9.76772
1600 50.7774
2100 96.3308
2600 224.512
100 0.004745
600 1.35719
100 0.004514
200 0.036566
300 0.134612
400 0.361336
500 0.714518
600 1.46256
700 2.70514
800 6.32422
900 5.78267
1000 9.53329
1100 11.1087
1200 17.8454
1300 22.0261
1400 34.048
1500 36.2122
1600 52.456
1700 50.8984
1800 79.1384
1900 64.0798
2000 97.3652
2100 99.5225
2200 141.414
2300 136.325
2400 178.54
2500 166.533
2600 224.677
2700 196.599
2800 290.473
2900 206.88
